Datetime,Open,High,Low,Close,Volume,macd,macd_signal,macd_hist,sma,ema50,ema100,Buy_Signal,Sell_Signal
2025-01-02,21389,21472,21222,21389,4567900,,,,,,,False,False
2025-01-03,21305,21347,20971,20971,5017300,,,,,,,False,False
2025-01-06,20888,20929,20679,20720,12052700,,,,,,,False,False
2025-01-07,20720,20929,20720,20888,5022100,,,,,,,False,False
2025-01-08,20888,20888,20720,20888,4088100,,,,,,,False,False
2025-01-09,20846,20888,20762,20846,3839200,,,,,,,False,False
2025-01-10,20804,20846,20637,20637,4710900,,,,,,,False,False
2025-01-13,20470,20762,20470,20679,4625500,,,,,,,False,False
2025-01-14,20679,20720,20470,20595,5059900,,,,,,,False,False
2025-01-15,20762,20846,20595,20804,7425100,,,,,,,False,False
2025-01-16,20762,20929,20637,20762,5005500,,,,,,,False,False
2025-01-17,20762,20888,20720,20846,2378900,,,,,,,False,False
2025-01-20,20846,20929,20720,20888,4004400,,,,,,,False,False
2025-01-21,20929,20971,20762,20846,4342600,,,,,,,False,False
2025-01-22,20888,20888,20720,20762,2787900,,,,,,,False,False
2025-01-23,20804,21222,20804,21138,8896800,,,,,,,False,False
2025-01-24,21055,21305,21055,21180,4898600,,,,,,,False,False
2025-02-03,20929,21138,20804,20971,4767900,,,,,,,False,False
2025-02-04,21096,21180,20929,21096,4903600,,,,,,,False,False
2025-02-05,21096,21222,21055,21222,7492100,,,,,,,False,False
2025-02-06,21305,21431,21222,21305,5593800,,,,,,,False,False
2025-02-07,21305,21556,21222,21472,9875600,,,,,,,False,False
2025-02-10,21431,21848,21305,21556,14032400,,,,,,,False,False
2025-02-11,21598,21681,21472,21598,5420500,,,,,,,False,False
2025-02-12,21639,21723,21431,21431,6789000,,,,,,,False,False
2025-02-13,21431,21514,21347,21472,5749900,,,,,,,False,False
2025-02-14,21681,21681,21472,21514,8139200,,,,,,,False,False
2025-02-17,21681,21681,21514,21556,5734800,,,,,,,False,False
2025-02-18,21556,21723,21514,21514,5157400,,,,,,,False,False
2025-02-19,21514,21639,21472,21556,5028300,,,,,,,False,False
2025-02-20,21598,21681,21514,21681,5709400,,,,,,,False,False
2025-02-21,21723,22015,21681,21890,12719300,,,,,,,False,False
2025-02-24,21765,21932,21765,21848,6396900,,,,,,,False,False
2025-02-25,21848,21932,21723,21723,6475900,254.74257277675497,240.3070800469181,14.43549272983688,,,,False,False
2025-02-26,21765,21807,21681,21681,5056300,243.34184035684302,240.9140321089031,2.427808247939936,,,,False,False
2025-02-27,21723,21807,21598,21807,5656800,241.6877982574042,241.0687853386033,0.6190129188009053,,,,False,False
2025-02-28,21723,21890,21556,21723,5469900,230.93676472357038,239.04238121559672,-8.105616492026343,,,,False,False
2025-03-03,21723,21765,21556,21723,5597900,219.88183229992865,235.21027143246312,-15.32843913253447,,,,False,False
