Datetime,Symbol,Open,High,Low,Close,Volume,SMA,MACD,Signal_Line,EMA50,EMA100,Buy_Signal,Sell_Signal,Position_Buy,Position_Sell,Trade_Action,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
2024-01-08,VCB,57726,58061,57726,58061,1607800,,,,,,False,False,,,,100000000,0,,,100000000,1.0
2024-01-09,VCB,58061,58796,58061,58729,1926400,,,,,,False,False,False,False,,100000000,0,0.011505141144658282,1.0115051411446583,100000000,1.0
2024-01-10,VCB,58729,59867,58328,59867,1795400,,,,,,False,False,False,False,,100000000,0,0.019377139062473292,1.031105216927025,100000000,1.0
2024-01-11,VCB,59867,60201,59265,59733,1489100,,,,,,False,False,False,False,,100000000,0,-0.002238294886999559,1.0287972993920187,100000000,1.0
2024-01-12,VCB,58930,59867,58462,59331,1909500,,,,,,False,False,False,False,,100000000,0,-0.006729948269800667,1.0218735467869997,100000000,1.0
2024-01-15,VCB,59532,60268,59465,60201,1914200,,,,,,False,False,False,False,,100000000,0,0.01466349800273048,1.036857787499354,100000000,1.0
2024-01-16,VCB,59532,60268,59465,60201,1367200,,,,,,False,False,False,False,,100000000,0,0.0,1.036857787499354,100000000,1.0
2024-01-17,VCB,59532,60870,59532,60803,1578200,,,,,,False,False,False,False,,100000000,0,0.009999833889802412,1.0472261931416957,100000000,1.0
2024-01-18,VCB,60803,61004,60201,60937,1422900,,,,,,False,False,False,False,,100000000,0,0.002203838626383625,1.049534110676702,100000000,1.0
2024-01-19,VCB,60870,62208,60469,61940,1472600,,,,,,False,False,False,False,,100000000,0,0.016459622232797733,1.066809045658876,100000000,1.0
2024-01-22,VCB,62542,62542,61539,61539,1046300,,,,,,False,False,False,False,,100000000,0,-0.006474007103648649,1.0599025163190436,100000000,1.0
2024-01-23,VCB,61606,61806,60469,61204,1256900,,,,,,False,False,False,False,,100000000,0,-0.005443702367604275,1.054132722481528,100000000,1.0
2024-01-24,VCB,61271,61539,60803,60937,744700,,,,,,False,False,False,False,,100000000,0,-0.004362459969936561,1.049534110676702,100000000,1.0
2024-01-25,VCB,60937,61271,60669,60870,503300,,,,,,False,False,False,False,,100000000,0,-0.0010994962009944764,1.0483801519091989,100000000,1.0
2024-01-26,VCB,61271,61539,61137,61539,953100,,,,,,False,False,False,False,,100000000,0,0.010990635781173097,1.0599025163190439,100000000,1.0
2024-01-29,VCB,61405,61539,60803,61004,730500,,,,,,False,False,False,False,,100000000,0,-0.00869367393035314,1.0506880694442053,100000000,1.0
2024-01-30,VCB,61004,61004,60268,60870,888600,,,,,,False,False,False,False,,100000000,0,-0.002196577273621436,1.048380151909199,100000000,1.0
2024-01-31,VCB,60602,60602,59198,59198,945600,,,,,,False,False,False,False,,100000000,0,-0.027468375225891295,1.0195828525171804,100000000,1.0
2024-02-01,VCB,58863,60335,58863,60067,598100,,,,,,False,False,False,False,,100000000,0,0.014679549984796703,1.034549869964348,100000000,1.0
