Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56500,02/06/2025,09:15:31,56500,56500,56500,56500,27500
VCB,56500,02/06/2025,09:15:31,56500,56500,56500,56500,27500
VCB,56500,02/06/2025,09:15:31,56500,56500,56500,56500,27500
VCB,56500,02/06/2025,09:16:52,56500,56500,56500,56500,5300
VCB,56500,02/06/2025,09:16:52,56500,56500,56500,56500,5300
VCB,56500,02/06/2025,09:16:52,56500,56500,56500,56500,5300
VCB,56400,02/06/2025,09:17:42,56500,56500,56400,56400,58000
VCB,56400,02/06/2025,09:17:42,56500,56500,56400,56400,58000
VCB,56400,02/06/2025,09:17:42,56500,56500,56400,56400,58000
VCB,56400,02/06/2025,09:18:57,56400,56400,56400,56400,5500
VCB,56400,02/06/2025,09:18:57,56400,56400,56400,56400,5500
VCB,56400,02/06/2025,09:18:57,56400,56400,56400,56400,5500
VCB,56400,02/06/2025,09:19:55,56400,56400,56300,56400,2500
VCB,56400,02/06/2025,09:19:55,56400,56400,56300,56400,2500
VCB,56400,02/06/2025,09:19:55,56400,56400,56300,56400,2500
VCB,56400,02/06/2025,09:20:58,56400,56400,56400,56400,1200
VCB,56400,02/06/2025,09:20:58,56400,56400,56400,56400,1200
VCB,56400,02/06/2025,09:20:58,56400,56400,56400,56400,1200
VCB,56300,02/06/2025,09:21:56,56300,56400,56300,56300,6800
VCB,56300,02/06/2025,09:21:56,56300,56400,56300,56300,6800
VCB,56300,02/06/2025,09:21:56,56300,56400,56300,56300,6800
VCB,56400,02/06/2025,09:22:56,56300,56400,56300,56400,6500
VCB,56400,02/06/2025,09:22:56,56300,56400,56300,56400,6500
VCB,56400,02/06/2025,09:22:56,56300,56400,56300,56400,6500
VCB,56400,02/06/2025,09:23:34,56400,56400,56400,56400,600
VCB,56400,02/06/2025,09:23:34,56400,56400,56400,56400,600
VCB,56400,02/06/2025,09:23:34,56400,56400,56400,56400,600
VCB,56300,02/06/2025,09:24:57,56400,56400,56300,56300,33800
