,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
0,20824320,2024-11-19 17:19:35,1732036775891,2024-11-19 17:19:35,1732036775894,0,0,0,0,4,234000,20824320,0,3,0.01,0.0,0.0,2622.815,2627.015,2626.805,0.0,XAUUSD.sml,python script op,
1,20824399,2024-11-19 17:20:09,1732036809396,2024-11-19 17:20:09,1732036809398,0,0,0,0,4,234000,20824399,0,3,0.01,0.0,0.0,2622.045,2626.245,2626.095,0.0,XAUUSD.sml,python script op,
2,20824409,2024-11-19 17:20:29,1732036829233,2024-11-19 17:20:29,1732036829237,0,1,0,1,4,234000,20824399,0,5,0.01,0.0,2626.245,0.0,0.0,2626.245,0.0,XAUUSD.sml,[tp 2626.245],
3,20824548,2024-11-19 17:21:16,1732036876031,2024-11-19 17:21:16,1732036876033,0,0,0,0,4,234000,20824548,0,3,0.01,0.0,0.0,2621.285,2625.485,2625.195,0.0,XAUUSD.sml,python script op,
4,20824573,2024-11-19 17:22:01,1732036921604,2024-11-19 17:22:01,1732036921606,0,1,0,1,4,234000,20824548,0,5,0.01,0.0,2625.485,0.0,0.0,2625.485,0.0,XAUUSD.sml,[tp 2625.485],
5,20824630,2024-11-19 17:23:30,1732037010813,2024-11-19 17:23:30,1732037010814,0,1,0,1,4,234000,20824320,0,5,0.01,0.0,2627.015,0.0,0.0,2627.015,0.0,XAUUSD.sml,[tp 2627.015],
6,20824683,2024-11-19 17:24:44,1732037084553,2024-11-19 17:24:44,1732037084555,0,0,0,0,4,234000,20824683,0,3,0.01,0.0,0.0,2623.665,2627.865,2627.795,0.0,XAUUSD.sml,python script op,
7,20824707,2024-11-19 17:25:12,1732037112943,2024-11-19 17:25:12,1732037112948,0,1,0,1,4,234000,20824683,0,5,0.01,0.0,2627.865,0.0,0.0,2627.865,0.0,XAUUSD.sml,[tp 2627.865],
8,20824714,2024-11-19 17:25:18,1732037118172,2024-11-19 17:25:18,1732037118174,0,0,0,0,4,234000,20824714,0,3,0.01,0.0,0.0,2624.015,2628.215,2627.915,0.0,XAUUSD.sml,python script op,
9,20824740,2024-11-19 17:26:03,1732037163242,2024-11-19 17:26:03,1732037163244,0,1,0,1,4,234000,20824714,0,5,0.01,0.0,2628.215,0.0,0.0,2628.215,0.0,XAUUSD.sml,[tp 2628.215],
10,20824751,2024-11-19 17:26:13,1732037173872,2024-11-19 17:26:13,1732037173873,0,0,0,0,4,234000,20824751,0,3,0.01,0.0,0.0,2624.265,2628.465,2628.265,0.0,XAUUSD.sml,python script op,
11,20824781,2024-11-19 17:27:09,1732037229562,2024-11-19 17:27:09,1732037229564,0,0,0,0,4,234000,20824781,0,3,0.01,0.0,0.0,2624.275,2628.475,2628.155,0.0,XAUUSD.sml,python script op,
12,20824792,2024-11-19 17:27:19,1732037239241,2024-11-19 17:27:19,1732037239244,0,1,0,1,4,234000,20824751,0,5,0.01,0.0,2628.465,0.0,0.0,2628.465,0.0,XAUUSD.sml,[tp 2628.465],
13,20825422,2024-11-19 17:32:03,1732037523092,2024-11-19 17:32:03,1732037523094,0,1,0,1,4,234000,20824781,0,4,0.01,0.0,2624.275,0.0,0.0,2624.275,0.0,XAUUSD.sml,[sl 2624.275],
14,20983468,2024-11-22 16:13:07,1732291987015,2024-11-22 16:13:07,1732291987017,0,0,0,0,4,234000,20983468,0,3,0.01,0.0,0.0,20695.6,20755.6,20735.9,0.0,US100,python script op,
15,20983488,2024-11-22 16:13:19,1732291999409,2024-11-22 16:13:19,1732291999411,0,0,0,0,4,234000,20983488,0,3,0.01,0.0,0.0,20695.9,20755.9,20735.9,0.0,US100,python script op,
16,20983527,2024-11-22 16:14:20,1732292060015,2024-11-22 16:14:20,1732292060017,0,0,0,0,4,234000,20983527,0,3,0.01,0.0,0.0,20697.6,20757.6,20737.6,0.0,US100,python script op,
17,20983601,2024-11-22 16:15:25,1732292125689,2024-11-22 16:15:25,1732292125692,0,0,0,0,4,234000,20983601,0,3,0.01,0.0,0.0,20700.1,20760.1,20742.1,0.0,US100,python script op,
18,20983672,2024-11-22 16:16:14,1732292174483,2024-11-22 16:16:14,1732292174484,0,0,0,0,4,234000,20983672,0,3,0.01,0.0,0.0,20707.6,20767.6,20747.6,0.0,US100,python script op,
19,20983781,2024-11-22 16:17:15,1732292235464,2024-11-22 16:17:15,1732292235465,0,0,0,0,4,234000,20983781,0,3,0.01,0.0,0.0,20709.6,20769.6,20749.6,0.0,US100,python script op,
20,20983836,2024-11-22 16:18:17,1732292297358,2024-11-22 16:18:17,1732292297359,0,0,0,0,4,234000,20983836,0,3,0.01,0.0,0.0,20709.6,20769.6,20748.6,0.0,US100,python script op,
21,20983883,2024-11-22 16:19:18,1732292358526,2024-11-22 16:19:18,1732292358526,0,0,0,0,4,234000,20983883,0,3,0.01,0.0,0.0,20689.1,20749.1,20729.1,0.0,US100,python script op,
22,20983937,2024-11-22 16:20:21,1732292421150,2024-11-22 16:20:21,1732292421152,0,0,0,0,4,234000,20983937,0,3,0.01,0.0,0.0,20690.4,20750.4,20730.4,0.0,US100,python script op,
23,20984005,2024-11-22 16:21:49,1732292509671,2024-11-22 16:21:49,1732292509672,0,0,0,0,4,234000,20984005,0,3,0.01,0.0,0.0,20687.1,20747.1,20729.9,0.0,US100,python script op,
24,20984039,2024-11-22 16:22:14,1732292534286,2024-11-22 16:22:14,1732292534288,0,0,0,0,4,234000,20984039,0,3,0.01,0.0,0.0,20688.9,20748.9,20726.6,0.0,US100,python script op,
25,20984085,2024-11-22 16:23:14,1732292594787,2024-11-22 16:23:14,1732292594788,0,0,0,0,4,234000,20984085,0,3,0.01,0.0,0.0,20686.1,20746.1,20726.1,0.0,US100,python script op,
26,20984139,2024-11-22 16:24:18,1732292658504,2024-11-22 16:24:18,1732292658505,0,1,0,0,4,234000,20984139,0,3,0.01,0.0,0.0,20759.6,20699.6,20718.6,0.0,US100,python script op,
27,20984178,2024-11-22 16:25:22,1732292722463,2024-11-22 16:25:22,1732292722465,0,1,0,0,4,234000,20984178,0,3,0.01,0.0,0.0,20758.4,20698.4,20718.8,0.0,US100,python script op,
28,20984215,2024-11-22 16:26:11,1732292771399,2024-11-22 16:26:11,1732292771400,0,1,0,0,4,234000,20984215,0,3,0.01,0.0,0.0,20761.1,20701.1,20721.1,0.0,US100,python script op,
29,20984274,2024-11-22 16:27:11,1732292831885,2024-11-22 16:27:11,1732292831886,0,1,0,0,4,234000,20984274,0,3,0.01,0.0,0.0,20757.3,20697.3,20717.4,0.0,US100,python script op,
