2025-08-04 10:21:16,035 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-04 10:21:16,145 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-04 10:21:16,146 - INFO - Starting backtest with 48 signals
2025-08-04 10:21:16,147 - INFO - BUY 2770 ABS @ 3,610 VND
2025-08-04 10:21:16,148 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,148 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,149 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,150 - INFO - SELL 2770 ABS @ 3,540 VND, P&L: -193,900 VND (-1.94%)
2025-08-04 10:21:16,150 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,151 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,152 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,153 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,154 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,154 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,155 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,155 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,156 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,157 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,158 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,158 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,159 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,160 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,160 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,161 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,162 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,163 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,164 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,164 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,165 - INFO - BUY 2746 ABS @ 3,570 VND
2025-08-04 10:21:16,166 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,167 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,167 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,168 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,169 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,170 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,171 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,172 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,173 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,173 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,174 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,175 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,176 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,177 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,177 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,178 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:21:16,179 - INFO - SELL 2746 ABS @ 3,800 VND, P&L: 631,580 VND (6.44%)
2025-08-04 10:21:16,179 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,180 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,181 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,181 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,182 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:21:16,183 - INFO - Backtest completed
2025-08-04 10:45:10,840 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-04 10:45:10,877 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-04 10:45:10,877 - INFO - Starting backtest with 48 signals
2025-08-04 10:45:10,878 - INFO - BUY 2770 ABS @ 3,610 VND
2025-08-04 10:45:10,879 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,880 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,880 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,881 - INFO - SELL 2770 ABS @ 3,540 VND, P&L: -193,900 VND (-1.94%)
2025-08-04 10:45:10,882 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,883 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,883 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,884 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,885 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,886 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,886 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,887 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,888 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,889 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,889 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,890 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,891 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,892 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,892 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,893 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,894 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,894 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,895 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,896 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,897 - INFO - BUY 2746 ABS @ 3,570 VND
2025-08-04 10:45:10,897 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,898 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,899 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,899 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,900 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,901 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,902 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,902 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,903 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,904 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,904 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,905 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,905 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,906 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,907 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,907 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:45:10,908 - INFO - SELL 2746 ABS @ 3,800 VND, P&L: 631,580 VND (6.44%)
2025-08-04 10:45:10,909 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,909 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,910 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,911 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,911 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:45:10,912 - INFO - Backtest completed
2025-08-04 10:51:27,051 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-04 10:51:27,090 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-04 10:51:27,091 - INFO - Starting backtest with 48 signals
2025-08-04 10:51:27,092 - INFO - BUY 2770 ABS @ 3,610 VND
2025-08-04 10:51:27,093 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,094 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,095 - INFO - Already have position in ABS, skipping BUY signal
2025-08-04 10:51:27,096 - INFO - SELL 2770 ABS @ 3,540 VND, P&L: -193,900 VND (-1.94%)
2025-08-04 10:51:27,096 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,097 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,098 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,099 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,100 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,100 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,101 - INFO - No position in ABS, skipping SELL signal
2025-08-04 10:51:27,102 - INFO - No position in ABS, skipping SELL signal
