2025-08-04 10:06:16,627 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-04 10:06:16,777 - INFO - Backtest engine initialized with balance: 10,000 USD
2025-08-04 10:06:16,778 - INFO - Starting backtest with 400 signals
2025-08-04 10:06:16,779 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,780 - INFO - BUY 8643 EURUSD.sml @ 1.15698 VND
2025-08-04 10:06:16,781 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,781 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,781 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,782 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,783 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,784 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,785 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,785 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,786 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,787 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,788 - INFO - SELL 8643 EURUSD.sml @ 1.15659 VND, P&L: -3.37077 VND (-0.03%)
2025-08-04 10:06:16,788 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,789 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,790 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,790 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,791 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,792 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,792 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,793 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,793 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,794 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,795 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,795 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,796 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,797 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,797 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,798 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,799 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,799 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,800 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,801 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,801 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,802 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,802 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,803 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,804 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,804 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,805 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,806 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,807 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,807 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,808 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,808 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,809 - INFO - No position in EURUSD.sml, skipping SELL signal
